ID,length
g10581,834
g10582,528
g10583,558
g10584,333
g10585,2862
g10586,531
g10587,429
g10588,1176
g10589,2886
g1059,531
g10590,4869
g10591,1281
g10592,1146
g10593,351
g10594,948
g10595,726
g10596,930
g10597,1992
g10598,2529
g10599,717
g106,342
g1060,1467
g10600,1200
g10601,420
g10602,555
g10603,297
g10604,882
g10605,759
g10606,2931
g10607,402
g10608,225
g10609,261
g1061,336
g10610,1197
g10611,711
g10612,399
g10613,1257
g10614,321
g10615,429
g10616,7026
g10617,840
g10618,714
g10619,1272
g1062,1527
g10620,1314
g10621,1932
g10622,1983
g10623,600
g10624,462
g10625,471
g10626,777
g10627,555
g10628,447
g10629,1089
g1063,1263
g10630,309
g10631,621
g10632,270
g10633,843
g10634,969
g10635,846
g10636,987
g10637,1983
g10638,855
g10639,285
g1064,2934
g10640,618
g10641,1788
g10642,837
g10643,765
g10644,990
g10645,1557
g10646,1845
g10647,246
g10648,1863
g10649,2148
g1065,1413
g10650,945
g10651,243
g10652,852
g10653,942
g10654,1515
g10655,1308
g10656,420
g10657,993
g10658,936
g10659,774
g1066,2553
g10660,1764
g10661,492
g10662,609
g10663,1200
g10664,423
g10665,402
g10666,954
g10667,1398
g10668,867
g10669,774
g1067,1011
g10670,567
g10671,1431
g10672,492
g10673,489
g10674,924
g10675,507
g10676,2817
g10677,1428
g10678,2010
g10679,402
g1068,363
g10680,732
g10681,477
g10682,777
g10683,366
g10684,450
g10685,729
g10686,333
g10687,1155
g10688,2007
g10689,840
g1069,348
g10690,1362
g10691,225
g10692,258
g10693,561
g10694,1422
g10695,1422
g10696,2127
g10697,1509
g10698,288
g10699,723
g107,696
g1070,384
g10700,948
g10701,363
g10702,684
g10703,1602
g10704,1989
g10705,7164
g10706,477
g10707,768
g10708,852
g10709,1242
g1071,930
g10710,1977
g10711,3375
g10712,507
g10713,1545
g10714,273
g10715,426
g10716,612
g10717,1032
g10718,1707
g10719,351
g1072,687
g10720,1665
g10721,501
g10722,2169
g10723,390
g10724,915
g10725,930
g10726,606
g10727,495
g10728,507
g10729,330
g1073,2226
g10730,543
g10731,285
g10732,789
g10733,849
g10734,255
g10735,732
g10736,2556
g10737,972
g10738,1320
g10739,252
g1074,528
g10740,1683
g10741,453
g10742,1896
g10743,462
g10744,642
g10745,945
g10746,222
g10747,321
g10748,411
g10749,360
g1075,369
g10750,819
g10751,291
g10752,1266
g10753,504
g10754,399
g10755,1014
g10756,303
g10757,777
g10758,768
g10759,1185
g1076,918
g10760,588
g10761,1032
g10762,990
g10763,372
g10764,669
g10765,678
g10766,1488
g10767,2289
g10768,1857
g10769,615
g1077,207
g10770,261
g10771,678
g10772,582
g10773,1575
g10774,981
g10775,1743
g10776,318
g10777,330
g10778,14772
g10779,1308
g1078,279
g10780,1053
g10781,1143
g10782,1401
g10783,666
g10784,1377
g10785,843
g10786,429
g10787,2010
g10788,13275
g10789,6996
g1079,2967
g10790,5178
g10791,444
g10792,942
g10793,1635
g10794,270
g10795,1065
g10796,1320
g10797,960
g10798,972
g10799,333
g108,222
g1080,297
g10800,2694
g10801,372
g10802,426
g10803,351
g10804,924
g10805,2643
g10806,1617
g10807,1371
g10808,282
g10809,387
g1081,282
g10810,1590
g10811,366
g10812,546
g10813,657
g10814,1134
g10815,267
g10816,297
g10817,9345
g10818,2094
g10819,1590
g1082,378
g10820,756
g10821,4254
g10822,1431
g10823,2172
g10824,453
g10825,528
g10826,2169
g10827,1668
g10828,708
g10829,1560
g1083,693
g10830,1197
g10831,1179
g10832,351
g10833,375
g10834,402
g10835,663
g10836,369
g10837,495
g10838,1161
g10839,1563
g1084,648
g10840,1044
g10841,333
g10842,1359
g10843,594
g10844,663
g10845,1698
g10846,408
g10847,471
g10848,300
g10849,612
g1085,336
g10850,1584
g10851,945
g10852,1887
g10853,1257
g10854,1275
g10855,519
g10856,342
g10857,1470
g10858,306
g10859,339
g1086,3858
g10860,315
g10861,501
g10862,1062
g10863,1296
g10864,2163
g10865,984
g10866,297
g10867,1248
g10868,381
g10869,3144
g1087,1992
g10870,846
g10871,549
g10872,345
g10873,3093
g10874,591
g10875,660
g10876,1836
g10877,1170
g10878,720
g10879,429
g1088,489
g10880,1377
g10881,372
g10882,1590
g10883,297
g10884,606
g10885,1365
g10886,849
g10887,1083
g10888,426
g10889,1668
g1089,783
g10890,414
g10891,228
g10892,501
g10893,936
g10894,567
g10895,759
g10896,1530
g10897,1524
g10898,966
g10899,894
g109,339
g1090,1335
g10900,975
g10901,774
g10902,2586
g10903,1284
g10904,1632
g10905,795
g10906,378
g10907,264
g10908,699
g10909,246
g1091,561
g10910,630
g10911,1722
g10912,1674
g10913,390
g10914,375
g10915,3255
g10916,261
g10917,669
g10918,1224
g10919,552
g1092,393
g10920,1836
g10921,513
g10922,291
g10923,678
g10924,465
g10925,2313
g10926,387
g10927,666
g10928,774
g10929,471
g1093,1074
g10930,978
g10931,732
g10932,3012
g10933,1359
g10934,540
g10935,2106
g10936,873
g10937,231
g10938,1191
g10939,966
g1094,1674
g10940,456
g10941,615
g10942,549
g10943,1773
g10944,621
g10945,2607
g10946,588
g10947,705
g10948,327
g10949,366
g1095,213
g10950,798
g10951,723
g10952,723
g10953,273
g10954,342
g10955,2709
g10956,390
g10957,1215
g10958,480
g10959,507
g1096,1143
g10960,495
g10961,546
g10962,2514
g10963,228
g10964,462
g10965,3294
g10966,687
g10967,2091
g10968,360
g10969,423
g1097,825
g10970,963
g10971,687
g10972,1593
g10973,423
g10974,3684
g10975,267
g10976,1254
g10977,276
g10978,438
g10979,519
g1098,1284
g10980,1305
g10981,240
g10982,2955
g10983,444
g10984,729
g10985,384
g10986,1749
g10987,1308
g10988,498
g10989,981
g1099,1818
g10990,708
g10991,3141
g10992,621
g10993,903
g10994,2112
g10995,9681
g10996,393
g10997,552
g10998,2718
g10999,288
g11,357
g110,282
g1100,1317
g11000,1551
g11001,306
g11002,528
g11003,1074
g11004,237
g11005,1311
g11006,693
g11007,654
g11008,2778
g11009,531
g1101,1488
g11010,468
g11011,324
g11012,1116
g11013,330
g11014,366
g11015,456
g11016,753
g11017,2553
g11018,4992
g11019,1494
g1102,315
g11020,1122
g11021,996
g11022,1713
g11023,2139
g11024,852
g11025,1041
g11026,636
g11027,282
g11028,1503
g11029,897
g1103,276
g11030,1797
g11031,1515
g11032,471
g11033,333
g11034,282
g11035,300
g11036,285
g11037,2688
g11038,627
g11039,429
g1104,249
g11040,2391
g11041,1005
g11042,951
g11043,240
g11044,1563
g11045,777
g11046,1011
g11047,492
g11048,1035
g11049,630
g1105,507
g11050,306
g11051,585
g11052,975
g11053,987
g11054,933
g11055,1068
g11056,735
g11057,570
g11058,1389
g11059,1803
g1106,1530
g11060,543
g11061,8760
g11062,777
g11063,804
g11064,2157
g11065,264
g11066,465
g11067,1227
g11068,567
g11069,579
g1107,747
g11070,2178
g11071,756
g11072,240
g11073,327
g11074,321
g11075,534
g11076,1635
g11077,651
g11078,819
g11079,279
g1108,333
g11080,282
g11081,708
g11082,270
g11083,474
g11084,408
g11085,414
g11086,510
g11087,261
g11088,297
g11089,513
g1109,255
g11090,396
g11091,1017
g11092,2322
g11093,603
g11094,1629
g11095,1947
g11096,324
g11097,237
g11098,243
g11099,339
g111,1398
g1110,567
g11100,348
g11101,390
g11102,1554
g11103,579
g11104,420
g11105,1368
g11106,369
g11107,624
g11108,324
g11109,1011
g1111,585
g11110,669
g11111,2127
g11112,366
g11113,1428
g11114,642
g11115,783
g11116,546
g11117,1791
g11118,336
g11119,9324
g1112,915
g11120,1776
g11121,789
g11122,5229
g11123,396
g11124,216
g11125,963
g11126,651
g11127,366
g11128,648
g11129,348
g1113,273
g11130,621
g11131,669
g11132,834
g11133,630
g11134,399
g11135,456
g11136,396
g11137,1497
g11138,429
g11139,573
g1114,327
g11140,702
g11141,819
g11142,324
g11143,444
g11144,735
g11145,1110
g11146,969
g11147,393
g11148,2703
g11149,429
g1115,1131
g11150,3894
g11151,642
g11152,858
g11153,741
g11154,267
g11155,417
g11156,786
g11157,1812
g11158,342
g11159,288
g1116,294
g11160,372
g11161,387
g11162,798
g11163,780
g11164,738
g11165,534
g11166,1293
g11167,1194
g11168,1089
g11169,2118
g1117,546
g11170,1467
g11171,2265
g11172,567
g11173,729
g11174,420
g11175,297
g11176,285
g11177,555
g11178,411
g11179,477
g1118,348
g11180,549
g11181,516
g11182,555
g11183,639
g11184,1974
g11185,609
g11186,480
g11187,5115
g11188,525
g11189,942
g1119,441
g11190,486
g11191,309
g11192,1095
g11193,540
g11194,903
g11195,1203
g11196,615
g11197,1179
g11198,1011
g11199,2289
g112,1479
g1120,297
g11200,1251
g11201,1749
g11202,570
g11203,2637
g11204,1533
g11205,1314
g11206,4005
g11207,435
g11208,795
g11209,789
g1121,1506
g11210,1365
g11211,2265
g11212,1221
g11213,537
g11214,222
g11215,312
g11216,531
g11217,420
g11218,1680
g11219,1158
g1122,1215
g11220,1383
g11221,1383
g11222,507
g11223,255
g11224,2262
g11225,333
g11226,495
g11227,1179
g11228,633
g11229,1014
g1123,498
g11230,2208
g11231,579
g11232,1923
g11233,486
g11234,2097
g11235,378
g11236,5331
g11237,1236
g11238,672
g11239,1467
g1124,621
g11240,456
g11241,300
g11242,546
g11243,390
g11244,264
g11245,867
g11246,297
g11247,288
g11248,369
g11249,342
g1125,1182
g11250,522
g11251,819
g11252,630
g11253,351
g11254,834
g11255,1182
g11256,423
g11257,1281
g11258,438
g11259,924
g1126,522
g11260,474
g11261,6816
g11262,861
g11263,306
g11264,501
g11265,1920
g11266,1623
g11267,303
g11268,534
g11269,471
g1127,435
g11270,4071
g11271,2094
g11272,1914
g11273,1794
g11274,822
g11275,234
g11276,1716
g11277,1701
g11278,729
g11279,927
g1128,411
g11280,450
g11281,513
g11282,366
g11283,669
g11284,639
g11285,5994
g11286,624
g11287,1893
g11288,2448
g11289,618
g1129,1623
g11290,756
g11291,438
g11292,882
g11293,1179
g11294,477
g11295,1254
g11296,1356
g11297,606
g11298,1320
g11299,888
g113,540
g1130,414
g11300,501
g11301,843
g11302,1461
g11303,1203
g11304,510
g11305,942
g11306,492
g11307,780
g11308,2310
g11309,1506
g1131,384
g11310,2382
g11311,591
g11312,1740
g11313,321
g11314,357
g11315,1161
g11316,609
g11317,1131
g11318,261
g11319,324
g1132,645
g11320,360
g11321,261
g11322,351
g11323,246
g11324,708
g11325,825
g11326,378
g11327,2586
g11328,408
g11329,447
g1133,489
g11330,318
g11331,702
g11332,510
g11333,306
g11334,201
g11335,816
g11336,798
g11337,795
g11338,1518
g11339,1302
g1134,936
g11340,369
g11341,213
g11342,678
g11343,372
g11344,2970
g11345,1380
g11346,696
g11347,1476
g11348,231
g11349,1722
g1135,942
g11350,495
g11351,825
g11352,2895
g11353,819
g11354,1416
g11355,7320
g11356,516
g11357,204
g11358,1053
g11359,1368
g1136,1845
g11360,972
g11361,3090
g11362,546
g11363,1635
g11364,1083
g11365,366
g11366,1599
g11367,2991
g11368,543
g11369,498
g1137,729
g11370,414
g11371,678
g11372,609
g11373,2385
g11374,255
g11375,1260
g11376,825
g11377,1131
g11378,1119
g11379,1242
g1138,954
g11380,519
g11381,336
g11382,639
g11383,276
g11384,423
g11385,531
g11386,423
g11387,615
g11388,498
g11389,753
g1139,1401
g11390,351
g11391,1830
g11392,645
g11393,378
g11394,1056
g11395,1653
g11396,1569
g11397,1689
g11398,1785
g11399,759
g114,912
g1140,1209
g11400,3006
g11401,333
g11402,2067
g11403,1956
g11404,528
g11405,924
g11406,1263
g11407,1599
g11408,1380
g11409,810
g1141,6204
g11410,468
g11411,468
g11412,3786
g11413,1089
g11414,873
g11415,420
g11416,606
g11417,771
g11418,318
g11419,498
g1142,666
g11420,354
g11421,519
g11422,345
g11423,756
g11424,1002
g11425,867
g11426,1251
g11427,2004
g11428,492
g11429,528
g1143,2634
g11430,528
g11431,2085
g11432,1443
g11433,204
g11434,519
g11435,354
g11436,1842
g11437,747
g11438,1875
g11439,660
g1144,369
g11440,1620
g11441,957
g11442,261
g11443,504
g11444,2898
g11445,336
g11446,5904
g11447,288
g11448,2256
g11449,213
g1145,2037
g11450,720
g11451,258
g11452,363
g11453,357
g11454,840
g11455,345
g11456,1179
g11457,654
g11458,528
g11459,528
g1146,6720
g11460,1800
g11461,705
g11462,504
g11463,246
g11464,246
g11465,3507
g11466,2025
g11467,711
g11468,1059
g11469,1899
g1147,417
g11470,1626
g11471,729
g11472,420
g11473,675
g11474,4131
g11475,648
g11476,1179
g11477,423
g11478,684
g11479,540
g1148,399
g11480,786
g11481,1119
g11482,1584
g11483,801
g11484,411
g11485,270
g11486,249
g11487,1257
g11488,540
g11489,336
g1149,390
g11490,297
g11491,354
g11492,3351
g11493,714
g11494,1557
g11495,252
g11496,4443
g11497,1038
g11498,480
g11499,294
g115,750
g1150,471
g11500,1776
g11501,486
g11502,2601
g11503,3555
g11504,2535
g11505,2109
g11506,2517
g11507,801
g11508,1137
g11509,1983
g1151,1260
g11510,348
g11511,2883
g11512,552
g11513,1599
g11514,972
g11515,438
g11516,1128
g11517,2550
g11518,297
g11519,3468
g1152,471
g11520,327
g11521,1593
g11522,237
g11523,426
g11524,1146
g11525,1962
g11526,1428
g11527,1638
g11528,4239
g11529,651
g1153,597
g11530,888
g11531,579
g11532,804
g11533,606
g11534,885
g11535,345
g11536,456
g11537,873
g11538,318
g11539,468
g1154,417
g11540,1650
g11541,543
g11542,1239
g11543,603
g11544,459
g11545,981
g11546,9525
g11547,303
g11548,624
g11549,789
g1155,6660
g11550,3363
g11551,870
g11552,5268
g11553,2319
g11554,2499
g11555,216
g11556,960
g11557,300
g11558,576
g11559,510
g1156,390
g11560,1044
g11561,1512
g11562,867
g11563,354
g11564,918
g11565,477
g11566,354
g11567,1569
g11568,1302
g11569,9009
g1157,504
g11570,798
g11571,1524
g11572,468
g11573,1728
g11574,399
g11575,2160
g11576,354
g11577,1326
g11578,1197
g11579,1017
g1158,408
g11580,360
g11581,2313
g11582,300
g11583,246
g11584,309
g11585,249
g11586,630
g11587,342
g11588,495
g11589,1893
g1159,2238
g11590,2385
g11591,2679
g11592,1725
g11593,1008
g11594,558
g11595,4386
g11596,324
g11597,228
g11598,378
g11599,636
g116,471
g1160,327
g11600,903
g11601,294
g11602,3630
g11603,1725
g11604,657
g11605,489
g11606,270
g11607,855
g11608,654
g11609,1083
g1161,1752
g11610,2769
g11611,5559
g11612,2718
g11613,600
g11614,240
g11615,681
g11616,270
g11617,1218
g11618,330
g11619,540
g1162,795
g11620,306
g11621,597
g11622,336
g11623,771
g11624,744
g11625,348
g11626,1200
g11627,1284
g11628,1230
g11629,942
g1163,363
g11630,669
g11631,417
g11632,2469
g11633,1164
g11634,4773
g11635,495
g11636,390
g11637,609
g11638,432
g11639,546
g1164,912
g11640,495
g11641,486
g11642,696
g11643,312
g11644,234
g11645,300
g11646,351
g11647,480
g11648,321
g11649,807
g1165,1707
g11650,333
g11651,486
g11652,303
g11653,684
g11654,510
g11655,561
g11656,222
g11657,213
g11658,888
g11659,1065
g1166,264
g11660,693
g11661,438
g11662,705
g11663,363
g11664,324
g11665,219
g11666,456
g11667,1449
g11668,294
g11669,1908
g1167,507
g11670,2442
g11671,384
g11672,447
g11673,1956
g11674,1146
g11675,264
g11676,270
g11677,1350
g11678,1281
g11679,726
g1168,444
g11680,1440
g11681,435
g11682,984
g11683,612
g11684,234
g11685,318
g11686,456
g11687,858
g11688,996
g11689,345
g1169,723
g11690,552
g11691,276
g11692,1224
g11693,687
g11694,702
g11695,300
g11696,762
g11697,2961
g11698,675
g11699,1731
g117,444
g1170,1713
g11700,900
g11701,1347
g11702,354
g11703,1575
g11704,438
g11705,777
g11706,315
g11707,408
g11708,723
g11709,429
g1171,825
g11710,642
g11711,873
g11712,288
g11713,327
g11714,6795
g11715,339
g11716,1062
g11717,3129
g11718,1203
g11719,510
g1172,318
g11720,381
g11721,1641
g11722,579
g11723,843
g11724,357
g11725,666
g11726,1152
g11727,294
g11728,456
g11729,315
g1173,1110
g11730,510
g11731,576
g11732,510
g11733,396
g11734,1509
g11735,615
g11736,609
g11737,510
g11738,1677
g11739,1998
g1174,1428
g11740,3507
g11741,228
g11742,2808
g11743,456
g11744,1089
g11745,1290
g11746,2160
g11747,690
g11748,1305
g11749,1752
g1175,1539
g11750,1233
g11751,1773
g11752,1482
g11753,615
g11754,552
g11755,2601
g11756,303
g11757,954
g11758,2709
g11759,591
g1176,7095
g11760,948
g11761,1323
g11762,315
g11763,408
g11764,891
g11765,687
g11766,1314
g11767,2007
g11768,345
g11769,2298
g1177,4503
g11770,1929
g11771,519
g11772,309
g11773,708
g11774,699
g11775,495
g11776,246
g11777,537
g11778,570
g11779,3432
g1178,336
g11780,1812
g11781,1239
g11782,276
g11783,777
g11784,564
g11785,879
g11786,1182
g11787,447
g11788,333
g11789,1176
g1179,2553
g11790,771
g11791,579
g11792,345
g11793,783
g11794,2289
g11795,642
g11796,804
g11797,1626
g11798,963
g11799,2463
g118,1047
g1180,3999
g11800,390
g11801,612
g11802,393
g11803,1260
g11804,441
g11805,882
g11806,513
g11807,519
g11808,741
g11809,1035
g1181,834
g11810,471
g11811,1473
g11812,1089
g11813,930
g11814,411
g11815,1008
g11816,774
g11817,498
g11818,579
g11819,447
g1182,774
g11820,1002
g11821,774
g11822,387
g11823,876
g11824,864
g11825,411
g11826,606
g11827,549
g11828,1026
g11829,735
g1183,498
g11830,1365
g11831,2352
g11832,807
g11833,1740
g11834,405
g11835,984
g11836,564
g11837,336
g11838,273
g11839,1140
g1184,804
g11840,480
g11841,927
g11842,1074
g11843,474
g11844,504
g11845,1137
g11846,345
g11847,300
g11848,312
g11849,957
g1185,1236
g11850,219
g11851,1341
g11852,2550
g11853,5019
g11854,405
g11855,624
g11856,234
g11857,1110
g11858,681
g11859,984
g1186,252
g11860,771
g11861,1419
g11862,471
g11863,699
g11864,441
g11865,1194
g11866,948
g11867,516
g11868,3801
g11869,549
g1187,726
g11870,1029
g11871,393
g11872,3021
g11873,1260
g11874,873
g11875,354
g11876,276
g11877,672
g11878,1434
g11879,432
g1188,384
g11880,3345
g11881,999
g11882,1932
g11883,468
g11884,639
g11885,594
g11886,903
g11887,276
g11888,204
g11889,285
g1189,549
g11890,2247
g11891,381
g11892,690
g11893,336
g11894,1896
g11895,549
g11896,678
g11897,1209
g11898,1602
g11899,300
g119,570
g1190,981
g11900,270
g11901,288
g11902,651
g11903,4641
g11904,543
g11905,426
g11906,654
g11907,336
g11908,1614
g11909,792
g1191,342
g11910,360
g11911,738
g11912,684
g11913,1404
g11914,327
g11915,1857
g11916,978
g11917,4881
g11918,1233
g11919,450
g1192,852
g11920,630
g11921,222
g11922,225
g11923,354
g11924,3411
g11925,3033
g11926,234
g11927,2244
g11928,1641
g11929,1062
g1193,3819
g11930,1953
g11931,603
g11932,1026
g11933,978
g11934,453
g11935,630
g11936,978
g11937,396
g11938,1155
g11939,732
g1194,696
g11940,837
g11941,2994
g11942,876
g11943,792
g11944,996
g11945,243
g11946,2457
g11947,567
g11948,339
g11949,837
g1195,549
g11950,2235
g11951,810
g11952,633
g11953,297
g11954,327
g11955,321
g11956,11577
g11957,1869
g11958,318
g11959,585
g1196,300
g11960,258
g11961,498
g11962,1083
g11963,1044
g11964,1377
g11965,1383
g11966,1146
g11967,885
g11968,2244
g11969,2265
g1197,2145
g11970,666
g11971,849
g11972,1584
g11973,333
g11974,6861
g11975,741
g11976,510
g11977,1218
g11978,2394
g11979,1101
g1198,693
g11980,1134
g11981,879
g11982,936
g11983,267
g11984,1521
g11985,711
g11986,378
g11987,1176
